FIRST_SWITCHED,IN_BYTES,IN_PKTS,IPV4_DST_ADDR,L4_DST_PORT,L4_SRC_PORT,LAST_SWITCHED,PROTOCOL,SRC_TOS,TCP_FLAGS,IP,DURATION,device_model,partition,SRC_AS,DST_AS,INPUT_SNMP,OUTPUT_SNMP,IPV4_SRC_ADDR,MAC,category,type,date,inter_arrival_time
1579047123.0,76.0,1.0,133.100.9.2,123.0,34641.0,1579042907.0,17.0,0.0,0.0,133.100,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,1579048122.0
1579047125.0,76.0,1.0,139.78.100.163,123.0,56978.0,1579042909.0,17.0,0.0,0.0,139.78,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
1579047127.0,76.0,1.0,131.107.1.10,123.0,57765.0,1579042911.0,17.0,0.0,0.0,131.107,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
1579047129.0,76.0,1.0,199.165.76.11,123.0,38237.0,1579042913.0,17.0,0.0,0.0,199.165.76,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
1579047131.0,76.0,1.0,140.142.16.34,123.0,57870.0,1579042915.0,17.0,0.0,0.0,140.142,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
1579047133.0,76.0,1.0,128.138.140.44,123.0,33299.0,1579042917.0,17.0,0.0,0.0,128.138,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
1579047136.0,76.0,1.0,137.146.210.250,123.0,50601.0,1579042919.0,17.0,0.0,0.0,137.146,4217.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,3.0
1579047138.0,76.0,1.0,192.36.144.22,123.0,53186.0,1579042922.0,17.0,0.0,0.0,192.36.144,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
1579047140.0,76.0,1.0,129.7.1.66,123.0,48889.0,1579042924.0,17.0,0.0,0.0,129.7,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
1579047142.0,76.0,1.0,192.43.244.18,123.0,34062.0,1579042926.0,17.0,0.0,0.0,192.43.244,4216.0,access_point.TP_Link.TL-WA901ND,training,0.0,0.0,6.0,1.0,192.168.1.217,98:DE:D0:D0:B0:F0,Non-IoT,access_point,2020-01-15,2.0
