FIRST_SWITCHED,IN_BYTES,IN_PKTS,IPV4_DST_ADDR,L4_DST_PORT,L4_SRC_PORT,LAST_SWITCHED,PROTOCOL,SRC_TOS,TCP_FLAGS,IP,DURATION,device_model,partition,SRC_AS,DST_AS,INPUT_SNMP,OUTPUT_SNMP,IPV4_SRC_ADDR,MAC,category,type,date,inter_arrival_time
1579425326.0,323.0,5.0,13.107.4.52,80.0,61822.0,1579421108.0,6.0,0.0,27.0,13,4218.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,1579426325.0
1579425327.0,6525.0,20.0,204.79.197.200,443.0,61823.0,1579421111.0,6.0,0.0,27.0,204.79.197,4216.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,1.0
1579425327.0,6356.0,17.0,40.90.22.183,443.0,61824.0,1579421110.0,6.0,0.0,26.0,40,4217.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,0.0
1579425328.0,2744.0,16.0,40.90.189.152,443.0,61826.0,1579421111.0,6.0,0.0,27.0,40,4217.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,1.0
1579425329.0,387.0,4.0,104.78.177.156,80.0,61830.0,1579421110.0,6.0,0.0,26.0,104,4219.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,1.0
1579425329.0,1180.0,9.0,185.48.81.186,443.0,61832.0,1579421110.0,6.0,0.0,27.0,185.48,4219.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,0.0
1579425329.0,387.0,4.0,104.78.177.156,80.0,61828.0,1579421110.0,6.0,0.0,26.0,104,4219.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,0.0
1579425329.0,868.0,10.0,23.43.21.228,443.0,61831.0,1579421111.0,6.0,0.0,31.0,23,4218.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,0.0
1579425329.0,3032.0,13.0,40.90.189.152,443.0,49453.0,1579421111.0,6.0,0.0,31.0,40,4218.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,0.0
1579425329.0,1005.0,9.0,13.107.3.128,443.0,61827.0,1579421110.0,6.0,0.0,30.0,13,4219.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,0.0
1579425329.0,758.0,8.0,95.100.77.195,80.0,61829.0,1579421110.0,6.0,0.0,26.0,95,4219.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-19,0.0
1579515569.0,323.0,5.0,13.107.4.52,80.0,51903.0,1579511351.0,6.0,0.0,27.0,13,4218.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,90240.0
1579515570.0,9484.0,22.0,204.79.197.200,443.0,51906.0,1579511354.0,6.0,0.0,27.0,204.79.197,4216.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,1.0
1579515570.0,718.0,7.0,95.100.138.18,80.0,51905.0,1579511354.0,6.0,0.0,26.0,95,4216.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,0.0
1579515570.0,682.0,6.0,23.56.186.44,80.0,51904.0,1579511354.0,6.0,0.0,26.0,23,4216.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,0.0
1579515570.0,493.0,5.0,205.185.216.10,80.0,51907.0,1579511353.0,6.0,0.0,26.0,205.185.216,4217.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,0.0
1579515571.0,460.0,6.0,13.107.4.52,80.0,51908.0,1579511354.0,6.0,0.0,27.0,13,4217.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,1.0
1579515571.0,6530.0,21.0,40.90.22.189,443.0,51909.0,1579511354.0,6.0,0.0,26.0,40,4217.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,0.0
1579515571.0,1180.0,9.0,185.48.81.186,443.0,51912.0,1579511354.0,6.0,0.0,27.0,185.48,4217.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,0.0
1579515571.0,3505.0,14.0,52.184.80.179,443.0,51911.0,1579511355.0,6.0,0.0,27.0,52,4216.0,laptop.Dell.Latitude_7400,training,0.0,0.0,6.0,1.0,192.168.1.210,4C:1D:96:A9:AE:66,Non-IoT,laptop,2020-01-20,0.0
