FIRST_SWITCHED,IN_BYTES,IN_PKTS,IPV4_DST_ADDR,L4_DST_PORT,L4_SRC_PORT,LAST_SWITCHED,PROTOCOL,SRC_TOS,TCP_FLAGS,IP,DURATION,device_model,partition,SRC_AS,DST_AS,INPUT_SNMP,OUTPUT_SNMP,IPV4_SRC_ADDR,MAC,category,type,date,inter_arrival_time
1579433873.0,496.0,3.0,172.217.19.195,80.0,34943.0,1579429656.0,6.0,0.0,26.0,172.217,4217.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-19,1579434872.0
1579433874.0,60.0,1.0,172.217.19.195,80.0,56885.0,1579429656.0,6.0,0.0,2.0,172.217,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-19,1.0
1579593942.0,600.0,5.0,172.217.19.195,80.0,52952.0,1579589724.0,6.0,0.0,27.0,172.217,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,160068.0
1579595403.0,1595.0,10.0,108.177.127.188,5228.0,33583.0,1579591188.0,6.0,0.0,26.0,108,4215.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1461.0
1579595403.0,140.0,3.0,204.79.197.203,80.0,36957.0,1579591185.0,6.0,0.0,19.0,204.79.197,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595403.0,674.0,6.0,172.217.168.238,80.0,41594.0,1579591185.0,6.0,0.0,26.0,172.217,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595403.0,948.0,10.0,52.210.219.87,5223.0,50965.0,1579591185.0,6.0,0.0,26.0,52,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595403.0,948.0,13.0,102.132.108.61,443.0,52627.0,1579591185.0,6.0,164.0,31.0,102,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595404.0,500634.0,387.0,102.132.108.61,443.0,52629.0,1579591217.0,6.0,0.0,26.0,102,4187.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595404.0,17942.0,24.0,216.58.208.106,443.0,49521.0,1579591188.0,6.0,0.0,26.0,216.58.208,4216.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595404.0,2801.0,16.0,31.13.90.36,443.0,34209.0,1579591186.0,6.0,0.0,26.0,31,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595404.0,1664.0,13.0,162.125.66.7,443.0,37507.0,1579591186.0,6.0,0.0,26.0,162.125,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595404.0,4977.0,8.0,172.217.20.74,443.0,36327.0,1579591186.0,17.0,0.0,0.0,172.217,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595404.0,2318.0,8.0,172.217.20.74,443.0,60449.0,1579591186.0,6.0,0.0,26.0,172.217,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595405.0,2095.0,10.0,216.58.208.106,443.0,49522.0,1579591188.0,6.0,0.0,26.0,216.58.208,4217.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595406.0,1847.0,15.0,108.177.119.109,993.0,58593.0,1579591188.0,6.0,0.0,26.0,108,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595407.0,1698.0,7.0,172.217.20.74,443.0,60455.0,1579591188.0,6.0,0.0,26.0,172.217,4219.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595407.0,3579.0,7.0,74.125.21.94,443.0,43303.0,1579591188.0,17.0,0.0,0.0,74,4219.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595413.0,140.0,3.0,13.107.21.200,80.0,41888.0,1579591195.0,6.0,0.0,19.0,13,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,6.0
1579595414.0,4671.0,9.0,172.217.168.205,443.0,33466.0,1579591197.0,17.0,0.0,0.0,172.217,4217.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595414.0,1005.0,8.0,172.217.168.205,443.0,42378.0,1579591197.0,6.0,0.0,26.0,172.217,4217.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595461.0,278.0,3.0,102.132.108.61,443.0,52629.0,1579591243.0,6.0,0.0,24.0,102,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,47.0
1579595467.0,1763.0,8.0,162.125.66.7,443.0,37519.0,1579591250.0,6.0,0.0,26.0,162.125,4217.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,6.0
1579595469.0,3793.0,10.0,216.58.211.106,443.0,59066.0,1579591266.0,17.0,0.0,0.0,216.58.211,4203.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,2.0
1579595470.0,247.0,4.0,31.13.90.36,443.0,34209.0,1579591252.0,6.0,0.0,25.0,31,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595491.0,129.0,2.0,102.132.108.61,443.0,52629.0,1579591273.0,6.0,0.0,24.0,102,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,21.0
1579595493.0,187.0,3.0,162.125.66.7,443.0,37519.0,1579591275.0,6.0,0.0,25.0,162.125,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,2.0
1579595580.0,2199.0,12.0,31.13.90.2,443.0,46164.0,1579591377.0,6.0,0.0,26.0,31,4203.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,87.0
1579595580.0,1487.0,9.0,31.13.90.2,443.0,46163.0,1579591362.0,6.0,0.0,26.0,31,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595580.0,1193.0,9.0,31.13.90.2,443.0,46165.0,1579591362.0,6.0,0.0,26.0,31,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595583.0,240.0,4.0,52.25.240.14,7275.0,45540.0,1579591371.0,6.0,0.0,2.0,52,4212.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,3.0
1579595583.0,300.0,5.0,173.194.69.192,7275.0,42306.0,1579591380.0,6.0,0.0,2.0,173.194,4203.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,0.0
1579595584.0,376.0,6.0,13.225.249.114,80.0,33836.0,1579591365.0,6.0,0.0,27.0,13,4219.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595585.0,135.0,2.0,162.125.66.7,443.0,37507.0,1579591367.0,6.0,0.0,25.0,162.125,4218.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,1.0
1579595588.0,6877.0,17.0,172.104.230.200,443.0,43311.0,1579591371.0,6.0,0.0,26.0,172.104,4217.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,3.0
1579595622.0,116.0,2.0,172.104.230.200,443.0,43311.0,1579591403.0,6.0,0.0,16.0,172.104,4219.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,34.0
1579595645.0,192.0,3.0,172.217.168.238,80.0,41594.0,1579591426.0,6.0,0.0,16.0,172.217,4219.0,smartphone.Samsung.Galaxy_Note_5,training,0.0,0.0,6.0,1.0,192.168.1.238,AC:5F:3E:48:15:C0,Non-IoT,smartphone,2020-01-21,23.0
