FIRST_SWITCHED,IN_BYTES,IN_PKTS,IPV4_DST_ADDR,L4_DST_PORT,L4_SRC_PORT,LAST_SWITCHED,PROTOCOL,SRC_TOS,TCP_FLAGS,IP,DURATION,device_model,partition,SRC_AS,DST_AS,INPUT_SNMP,OUTPUT_SNMP,IPV4_SRC_ADDR,MAC,category,type,date,inter_arrival_time
1579047197.0,1248.0,26.0,34.224.191.226,9998.0,62929.0,1579042990.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,1579048196.0
1579047389.0,1248.0,26.0,34.206.145.105,9998.0,57260.0,1579043183.0,6.0,0.0,2.0,34,4206.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579047581.0,1248.0,26.0,52.5.17.3,9998.0,64321.0,1579043375.0,6.0,0.0,2.0,52,4206.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579047771.0,1248.0,26.0,50.16.31.233,9998.0,55991.0,1579043565.0,6.0,0.0,2.0,50,4206.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,190.0
1579047966.0,1248.0,26.0,3.208.152.72,9998.0,53074.0,1579043759.0,6.0,0.0,2.0,3,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,195.0
1579048159.0,1248.0,26.0,3.232.216.162,9998.0,52162.0,1579043953.0,6.0,0.0,2.0,3,4206.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,193.0
1579048346.0,1248.0,26.0,54.172.35.209,9998.0,52724.0,1579044140.0,6.0,0.0,2.0,54,4206.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,187.0
1579048540.0,1248.0,26.0,3.222.68.149,9998.0,55121.0,1579044334.0,6.0,0.0,2.0,3,4206.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,194.0
1579048734.0,1248.0,26.0,3.211.83.178,9998.0,61775.0,1579044527.0,6.0,0.0,2.0,3,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,194.0
1579048928.0,1248.0,26.0,34.203.17.230,9998.0,50769.0,1579044721.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,194.0
1579049121.0,1248.0,26.0,34.195.36.144,9998.0,61638.0,1579044913.0,6.0,0.0,2.0,34,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,193.0
1579049310.0,1248.0,26.0,34.195.151.48,9998.0,56953.0,1579045102.0,6.0,0.0,2.0,34,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,189.0
1579049501.0,1248.0,26.0,3.232.162.145,9998.0,50509.0,1579045294.0,6.0,0.0,2.0,3,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,191.0
1579049689.0,1248.0,26.0,34.231.76.82,9998.0,53883.0,1579045482.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,188.0
1579049881.0,1248.0,26.0,34.199.159.223,9998.0,59958.0,1579045674.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579050075.0,1200.0,25.0,34.226.160.160,9998.0,52452.0,1579045868.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,194.0
1579050270.0,1248.0,26.0,52.5.17.3,9998.0,49356.0,1579046062.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,195.0
1579050455.0,1248.0,26.0,3.214.128.164,9998.0,56857.0,1579046248.0,6.0,0.0,2.0,3,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,185.0
1579050642.0,1248.0,26.0,3.208.152.72,9998.0,60011.0,1579046435.0,6.0,0.0,2.0,3,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,187.0
1579050830.0,1248.0,26.0,3.214.128.164,9998.0,60827.0,1579046622.0,6.0,0.0,2.0,3,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,188.0
1579051017.0,1248.0,26.0,52.7.198.169,9998.0,58617.0,1579046809.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,187.0
1579051210.0,1248.0,26.0,52.44.201.91,9998.0,61277.0,1579047002.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,193.0
1579051399.0,1248.0,26.0,3.219.243.237,9998.0,54650.0,1579047192.0,6.0,0.0,2.0,3,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,189.0
1579051587.0,1248.0,26.0,34.195.63.78,9998.0,65143.0,1579047380.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,188.0
1579051779.0,1248.0,26.0,3.232.162.145,9998.0,59550.0,1579047571.0,6.0,0.0,2.0,3,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579051973.0,1248.0,26.0,34.227.121.239,9998.0,54218.0,1579047765.0,6.0,0.0,2.0,34,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,194.0
1579052166.0,1248.0,26.0,52.202.206.135,9998.0,58776.0,1579047959.0,6.0,0.0,2.0,52,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,193.0
1579052351.0,1248.0,26.0,34.197.251.90,9998.0,49459.0,1579048144.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,185.0
1579052540.0,1248.0,26.0,34.231.76.82,9998.0,52813.0,1579048333.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,189.0
1579052734.0,1248.0,26.0,52.5.238.26,9998.0,56688.0,1579048526.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,194.0
1579052926.0,1248.0,26.0,107.21.51.149,9998.0,59868.0,1579048719.0,6.0,0.0,2.0,107,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579053116.0,1248.0,26.0,54.209.13.185,9998.0,57105.0,1579048908.0,6.0,0.0,2.0,54,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,190.0
1579053303.0,1248.0,26.0,52.44.201.91,9998.0,59228.0,1579049095.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,187.0
1579053495.0,1248.0,26.0,52.205.50.150,9998.0,56069.0,1579049287.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579053681.0,1248.0,26.0,52.2.201.178,9998.0,58201.0,1579049473.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,186.0
1579053871.0,1248.0,26.0,34.196.234.29,9998.0,63196.0,1579049664.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,190.0
1579054062.0,1248.0,26.0,52.73.239.3,9998.0,61028.0,1579049855.0,6.0,0.0,2.0,52,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,191.0
1579054254.0,1248.0,26.0,3.211.83.178,9998.0,54671.0,1579050046.0,6.0,0.0,2.0,3,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579054446.0,1248.0,26.0,52.200.237.114,9998.0,54069.0,1579050239.0,6.0,0.0,2.0,52,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579054638.0,1248.0,26.0,34.197.251.90,9998.0,63559.0,1579050431.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,192.0
1579054825.0,1248.0,26.0,52.203.72.103,9998.0,59276.0,1579050617.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,187.0
1579055013.0,1248.0,26.0,52.73.165.25,9998.0,49503.0,1579050805.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,188.0
1579055199.0,1248.0,26.0,34.204.110.230,9998.0,54310.0,1579050992.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,186.0
1579055393.0,1248.0,26.0,52.5.238.26,9998.0,53029.0,1579051185.0,6.0,0.0,2.0,52,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,194.0
1579055582.0,1248.0,26.0,34.199.179.98,9998.0,55469.0,1579051375.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,189.0
1579055771.0,1248.0,26.0,3.232.191.222,9998.0,57949.0,1579051563.0,6.0,0.0,2.0,3,4208.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,189.0
1579055964.0,1248.0,26.0,52.5.238.26,9998.0,61085.0,1579051757.0,6.0,0.0,2.0,52,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,193.0
1579056154.0,1248.0,26.0,34.232.15.206,9998.0,59662.0,1579051947.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,190.0
1579056340.0,1248.0,26.0,3.232.191.222,9998.0,60894.0,1579052133.0,6.0,0.0,2.0,3,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,186.0
1579056526.0,1248.0,26.0,52.205.50.150,9998.0,52991.0,1579052319.0,6.0,0.0,2.0,52,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,186.0
1579056721.0,1248.0,26.0,34.232.15.206,9998.0,50782.0,1579052514.0,6.0,0.0,2.0,34,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,195.0
1579056906.0,1248.0,26.0,52.87.146.204,9998.0,61581.0,1579052699.0,6.0,0.0,2.0,52,4207.0,doorbell.Amazon.Ring,training,0.0,0.0,6.0,1.0,192.168.1.201,90:70:65:03:55:E9,IoT,IoT,2020-01-15,185.0
