FIRST_SWITCHED,IN_BYTES,IN_PKTS,IPV4_DST_ADDR,L4_DST_PORT,L4_SRC_PORT,LAST_SWITCHED,PROTOCOL,SRC_TOS,TCP_FLAGS,IP,DURATION,device_model,partition,SRC_AS,DST_AS,INPUT_SNMP,OUTPUT_SNMP,IPV4_SRC_ADDR,MAC,category,type,date,inter_arrival_time
1579082864.0,323.0,5.0,13.107.4.52,80.0,49413.0,1579078647.0,6.0,0.0,27.0,13,4217.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,1579083863.0
1579082866.0,3064.0,15.0,40.90.189.152,443.0,49414.0,1579078651.0,6.0,0.0,26.0,40,4215.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,2.0
1579082868.0,387.0,4.0,92.122.149.227,80.0,49417.0,1579078651.0,6.0,0.0,26.0,92,4217.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,2.0
1579082868.0,385.0,4.0,95.100.138.18,80.0,49418.0,1579078651.0,6.0,0.0,26.0,95,4217.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,0.0
1579082870.0,3041.0,18.0,31.13.90.51,443.0,49421.0,1579078699.0,6.0,0.0,26.0,31,4171.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,2.0
1579082870.0,13781.0,278.0,151.139.128.10,443.0,49423.0,1579078659.0,6.0,0.0,31.0,151.139,4211.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,0.0
1579082870.0,1839.0,13.0,34.73.232.153,443.0,49419.0,1579078659.0,6.0,0.0,27.0,34,4211.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,0.0
1579082870.0,2979.0,19.0,31.13.90.51,443.0,49420.0,1579078659.0,6.0,0.0,27.0,31,4211.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,0.0
1579082870.0,86482.0,109.0,172.217.17.110,443.0,50251.0,1579078699.0,17.0,0.0,0.0,172.217,4171.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,0.0
1579082870.0,7462.0,15.0,172.217.17.142,443.0,60219.0,1579078669.0,17.0,0.0,0.0,172.217,4201.0,laptop.Dell.Latitude_E6430,training,0.0,0.0,6.0,1.0,192.168.1.215,60:67:20:7A:E7:D8,Non-IoT,laptop,2020-01-15,0.0
